FirstName;LastName;PrincipalName;AccountName;Password;OrganisationalUnit;Group
Laureen;test;amongustest@tssr.info;sustestLaureen;P@ssw0rd;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=pubg,OU=groupes101,DC=tssr,DC=info"
Alex;smith;alexsmith@tssr.info;susmithAlex;P@ssw0rd1;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=valorant,OU=groupes101,DC=tssr,DC=info"
Marie;jones;mariejones@tssr.info;sujonesMarie;P@ssw0rd2;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=apex,OU=groupes101,DC=tssr,DC=info"
Lucas;martin;lucasmartin@tssr.info;sumartinLucas;P@ssw0rd3;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=fortnite,OU=groupes101,DC=tssr,DC=info"
Emma;lee;emmalee@tssr.info;suleeEmma;P@ssw0rd4;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=csgo,OU=groupes101,DC=tssr,DC=info"
Noah;clark;noahclark@tssr.info;suclarkNoah;P@ssw0rd5;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=overwatch,OU=groupes101,DC=tssr,DC=info"
Olivia;davis;oliviadavis@tssr.info;sudavisOlivia;P@ssw0rd6;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=rocket,OU=groupes101,DC=tssr,DC=info"
Liam;wilson;liamwilson@tssr.info;suwilsonLiam;P@ssw0rd7;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=rainbow,OU=groupes101,DC=tssr,DC=info"
Sophia;moore;sophiamoore@tssr.info;sumooreSophia;P@ssw0rd8;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=league,OU=groupes101,DC=tssr,DC=info"
Mason;taylor;masontaylor@tssr.info;sutaylorMason;P@ssw0rd9;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=dota,OU=groupes101,DC=tssr,DC=info"
Ava;anderson;avaanderson@tssr.info;suandersonAva;P@ssw0rd10;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=smite,OU=groupes101,DC=tssr,DC=info"
Ethan;thomas;ethanthomas@tssr.info;suthomasEthan;P@ssw0rd11;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=paladins,OU=groupes101,DC=tssr,DC=info"
Isabella;martinez;isabellamartinez@tssr.info;sumartinezIsabella;P@ssw0rd12;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=smash,OU=groupes101,DC=tssr,DC=info"
Logan;rodriguez;loganrodriguez@tssr.info;surodriguezLogan;P@ssw0rd13;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=tekken,OU=groupes101,DC=tssr,DC=info"
Mia;garcia;miagarcia@tssr.info;sugarciaMia;P@ssw0rd14;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=street,OU=groupes101,DC=tssr,DC=info"
James;martin;jamesmartin@tssr.info;sumartinJames;P@ssw0rd15;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=mortal,OU=groupes101,DC=tssr,DC=info"
Charlotte;lee;charlottee@tssr.info;suleeCharlotte;P@ssw0rd16;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=blazblue,OU=groupes101,DC=tssr,DC=info"
Benjamin;walker;benjaminwalker@tssr.info;suwalkerBenjamin;P@ssw0rd17;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=king,OU=groupes101,DC=tssr,DC=info"
Amelia;hall;ameliahall@tssr.info;suhallAmelia;P@ssw0rd18;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=melty,OU=groupes101,DC=tssr,DC=info"
Elijah;allen;elijahallen@tssr.info;suallenElijah;P@ssw0rd19;"OU=MinecraftGamers,DC=tssr,DC=info";"CN=granblue,OU=groupes101,DC=tssr,DC=info"
Minecraft;Battlepass;MBattlepass@tssr.info;creeper;P@ssw0rd19;"OU=letsgo,DC=tssr,DC=info";"CN=damnboi,OU=Laureen,DC=tssr,DC=info"
